epoch,accuracy,io_u,loss,val_accuracy,val_io_u,val_loss
0,0.9869463443756104,0.005851383320987225,0.0968376025557518,0.9936357736587524,0.0,0.02803090028464794
1,0.9946019649505615,1.7477364963269792e-05,0.015400663949549198,0.9936326742172241,5.872070323675871e-05,0.026895560324192047
2,0.9953852891921997,0.26126372814178467,0.011920865625143051,0.9937127232551575,0.1652887463569641,0.023059653118252754
3,0.9960831999778748,0.3893553912639618,0.009841474704444408,0.994164228439331,0.20709148049354553,0.02038026601076126
4,0.9967417120933533,0.4923758804798126,0.008031854405999184,0.9945993423461914,0.24752336740493774,0.021216508001089096
5,0.9973239898681641,0.5788015127182007,0.006482213735580444,0.9945931434631348,0.2655860185623169,0.024788135662674904
6,0.9978244304656982,0.6519618034362793,0.005235634744167328,0.9945419430732727,0.29924923181533813,0.02218334749341011
7,0.9981363415718079,0.6977472901344299,0.00447046896442771,0.994743824005127,0.25266340374946594,0.02850482054054737
8,0.9983447790145874,0.7283214330673218,0.003980728797614574,0.9949020147323608,0.2752016484737396,0.03345907852053642
9,0.9986293315887451,0.7715972065925598,0.0032628290355205536,0.9949522018432617,0.2764112055301666,0.04408198595046997
10,0.9987888932228088,0.7962662577629089,0.0028789308853447437,0.9946702122688293,0.2650429606437683,0.044220224022865295
11,0.9989073872566223,0.8146843910217285,0.002580421743914485,0.9948201179504395,0.256201833486557,0.04944829270243645
12,0.998999297618866,0.8291433453559875,0.0023633369710296392,0.9948724508285522,0.26559144258499146,0.044999074190855026
13,0.9990876913070679,0.8433004021644592,0.002153353998437524,0.994809627532959,0.24744248390197754,0.0502203032374382
14,0.999164879322052,0.8556603789329529,0.0019668058957904577,0.9947934150695801,0.24820742011070251,0.05986073985695839
15,0.9992086887359619,0.8628109097480774,0.0018672934966161847,0.9946368336677551,0.2602284848690033,0.05294996127486229
16,0.9992665648460388,0.8722007274627686,0.0017298068851232529,0.9948013424873352,0.25170931220054626,0.06123557686805725
17,0.9993137717247009,0.87995445728302,0.001613596105016768,0.994881808757782,0.27940380573272705,0.05421203002333641
18,0.9993500113487244,0.8860765099525452,0.0015252635348588228,0.9948158860206604,0.2597743272781372,0.056376829743385315
19,0.9993613362312317,0.8880495429039001,0.0015034819953143597,0.9948732852935791,0.2843485474586487,0.055036257952451706
20,0.9994034171104431,0.8950452208518982,0.0014027098659425974,0.9948319792747498,0.26851722598075867,0.05974515527486801
21,0.9994388818740845,0.9010217785835266,0.001316431793384254,0.9947729706764221,0.2671626806259155,0.06094755232334137
22,0.9994571208953857,0.9040852189064026,0.0012778996024280787,0.9948423504829407,0.2511134743690491,0.06356553733348846
23,0.9994590878486633,0.9044339060783386,0.001271887100301683,0.9948845505714417,0.2649836242198944,0.05881975218653679
24,0.99946528673172,0.9054813981056213,0.0012595405569300056,0.9949941039085388,0.31373149156570435,0.0506136491894722
25,0.9995068311691284,0.9125146865844727,0.0011656254064291716,0.9949493408203125,0.2853110432624817,0.05875789374113083
26,0.9995391964912415,0.9180117845535278,0.0010812245309352875,0.9948394298553467,0.2602222263813019,0.06716808676719666
27,0.9995527863502502,0.9204014539718628,0.0010471231071278453,0.9948706030845642,0.2615496814250946,0.06594423204660416
28,0.9995607733726501,0.9216206073760986,0.0010348011273890734,0.994896411895752,0.2789692282676697,0.06135299429297447
29,0.9995532035827637,0.9204211831092834,0.0010532843880355358,0.9948139190673828,0.26191699504852295,0.06361079961061478
30,0.9995834827423096,0.9256384372711182,0.0009868136839941144,0.9947722554206848,0.2776065468788147,0.0618894100189209
31,0.9995970129966736,0.927943229675293,0.0009489657822996378,0.9949542880058289,0.28592565655708313,0.060951124876737595
32,0.9996087551116943,0.9299505949020386,0.000920307298656553,0.9949180483818054,0.2868274748325348,0.06432914733886719
33,0.9996200203895569,0.9319000244140625,0.0009002246079035103,0.9948601722717285,0.2867961525917053,0.06459526717662811
34,0.9996275305747986,0.933219313621521,0.0008762627840042114,0.9948646426200867,0.2786608040332794,0.06249234080314636
35,0.9996299743652344,0.9335442781448364,0.0008917827508412302,0.9949036240577698,0.28672242164611816,0.05452045798301697
36,0.9996602535247803,0.9389340281486511,0.0008017339278012514,0.9949496984481812,0.2918862998485565,0.05439339205622673
37,0.9996615052223206,0.9391283988952637,0.0007979521760717034,0.9948911070823669,0.275879442691803,0.05857935920357704
38,0.9996625185012817,0.9393621683120728,0.0007986337877810001,0.994867742061615,0.278825044631958,0.062065139412879944
39,0.9996551275253296,0.9381544589996338,0.0008156573167070746,0.9949922561645508,0.2887114882469177,0.0587606355547905
40,0.9996812343597412,0.9426056742668152,0.0007551888120360672,0.9949759244918823,0.29161733388900757,0.06288070231676102
41,0.9996880888938904,0.943833589553833,0.0007386445649899542,0.994962215423584,0.27825474739074707,0.05987056344747543
42,0.9997060894966125,0.9469670653343201,0.0006950667011551559,0.9950084686279297,0.28341931104660034,0.06002314016222954
43,0.9996996521949768,0.9458247423171997,0.0007106654229573905,0.9949196577072144,0.2910982072353363,0.05935865640640259
44,0.9996782541275024,0.9421061277389526,0.0007636217051185668,0.9949089288711548,0.26849448680877686,0.0589098259806633
45,0.9997042417526245,0.9465802311897278,0.0007127991411834955,0.9950301051139832,0.3016608953475952,0.053284380584955215
46,0.9997351765632629,0.9520553946495056,0.0006282152025960386,0.9949336647987366,0.28091898560523987,0.06461486965417862
47,0.999728798866272,0.9509388208389282,0.0006449101492762566,0.9950063824653625,0.29813069105148315,0.06046445295214653
48,0.9997375011444092,0.9524561166763306,0.0006228666170500219,0.994953453540802,0.28382408618927,0.059757012873888016
49,0.9997197389602661,0.9493053555488586,0.0006733458139933646,0.99500572681427,0.29356443881988525,0.0691835954785347
50,0.9997482895851135,0.9543334245681763,0.0005990256904624403,0.9950465559959412,0.28632524609565735,0.06628245860338211
51,0.9997583031654358,0.956287682056427,0.0005750465206801891,0.994973361492157,0.2884504199028015,0.06819998472929001
52,0.9997603297233582,0.9564781188964844,0.0005725621595047414,0.9949735999107361,0.2932291626930237,0.06944016367197037
53,0.9997687339782715,0.9580097794532776,0.0005529180634766817,0.9949371218681335,0.3038574159145355,0.06463097035884857
54,0.9997503161430359,0.9547392725944519,0.0005972294602543116,0.9949935078620911,0.28448015451431274,0.06628589332103729
55,0.9997703433036804,0.9582856893539429,0.0005468582385219634,0.9949358701705933,0.27354612946510315,0.07065942138433456
56,0.9997693300247192,0.9581636190414429,0.0005485014407895505,0.9949769377708435,0.29763704538345337,0.07010252773761749
57,0.9997186064720154,0.9491428732872009,0.0006931496318429708,0.9950783252716064,0.3203180134296417,0.04038839787244797
58,0.9997718930244446,0.9586920142173767,0.000546971510630101,0.9950157403945923,0.295282781124115,0.06420552730560303
59,0.9997916221618652,0.9621084332466125,0.0004991436726413667,0.9950336813926697,0.2986204922199249,0.06591341644525528
