Inference Run: tcia_supervised_sota_20260318_183029
Model: baseline/models/model_patch_best.h5
Average Dice: 0.5439
------------------------------
pancreas_ext_001: 0.3400
pancreas_ext_002: 0.5186
pancreas_ext_003: 0.1478
pancreas_ext_004: 0.5253
pancreas_ext_005: 0.5975
pancreas_ext_006: 0.2089
pancreas_ext_007: 0.6461
pancreas_ext_008: 0.6391
pancreas_ext_009: 0.2620
pancreas_ext_010: 0.6523
pancreas_ext_011: 0.1617
pancreas_ext_012: 0.6795
pancreas_ext_013: 0.6104
pancreas_ext_014: 0.4204
pancreas_ext_015: 0.5261
pancreas_ext_016: 0.7831
pancreas_ext_017: 0.7791
pancreas_ext_018: 0.7125
pancreas_ext_019: 0.5959
pancreas_ext_020: 0.7494
pancreas_ext_021: 0.6852
pancreas_ext_022: 0.4767
pancreas_ext_023: 0.1977
pancreas_ext_024: 0.6618
pancreas_ext_026: 0.7955
pancreas_ext_027: 0.5328
pancreas_ext_028: 0.4600
pancreas_ext_029: 0.5648
pancreas_ext_030: 0.4587
pancreas_ext_031: 0.3598
pancreas_ext_032: 0.7155
pancreas_ext_033: 0.1829
pancreas_ext_034: 0.6929
pancreas_ext_035: 0.5106
pancreas_ext_036: 0.6052
pancreas_ext_037: 0.6884
pancreas_ext_038: 0.4356
pancreas_ext_039: 0.5825
pancreas_ext_040: 0.3640
pancreas_ext_041: 0.5803
pancreas_ext_042: 0.4605
pancreas_ext_043: 0.5674
pancreas_ext_044: 0.7957
pancreas_ext_045: 0.5811
pancreas_ext_046: 0.5396
pancreas_ext_047: 0.5727
pancreas_ext_048: 0.6011
pancreas_ext_049: 0.6339
pancreas_ext_050: 0.5840
pancreas_ext_051: 0.3153
pancreas_ext_052: 0.8414
pancreas_ext_053: 0.6947
pancreas_ext_054: 0.5781
pancreas_ext_055: 0.5304
pancreas_ext_056: 0.5945
pancreas_ext_057: 0.3597
pancreas_ext_058: 0.5671
pancreas_ext_059: 0.6622
pancreas_ext_060: 0.7206
pancreas_ext_061: 0.6270
pancreas_ext_062: 0.2018
pancreas_ext_063: 0.7021
pancreas_ext_064: 0.6129
pancreas_ext_065: 0.7245
pancreas_ext_066: 0.5124
pancreas_ext_067: 0.6051
pancreas_ext_068: 0.6240
pancreas_ext_069: 0.5466
pancreas_ext_071: 0.5837
pancreas_ext_072: 0.6997
pancreas_ext_073: 0.2613
pancreas_ext_074: 0.4999
pancreas_ext_075: 0.3837
pancreas_ext_076: 0.6320
pancreas_ext_077: 0.6788
pancreas_ext_078: 0.5104
pancreas_ext_079: 0.6227
pancreas_ext_080: 0.3545
pancreas_ext_081: 0.1930
pancreas_ext_082: 0.6282
