epoch,accuracy,io_u,loss,val_accuracy,val_io_u,val_loss
0,0.9411674737930298,0.012407460249960423,0.5538496971130371,0.9834742546081543,0.010481870733201504,0.3635275959968567
1,0.9831143021583557,0.044904496520757675,0.2736842632293701,0.983849048614502,0.03453730046749115,0.18528738617897034
2,0.9838331937789917,0.07990712672472,0.13101059198379517,0.9843663573265076,0.10167298465967178,0.09699273109436035
3,0.984481692314148,0.13478383421897888,0.07802335917949677,0.9825372099876404,0.20600460469722748,0.07254491746425629
4,0.9852960109710693,0.19497057795524597,0.05649878829717636,0.9847742319107056,0.15205059945583344,0.05641043931245804
5,0.986101508140564,0.2465442270040512,0.04612251743674278,0.9851716756820679,0.24648192524909973,0.04960327968001366
6,0.9868249297142029,0.29221951961517334,0.04020935297012329,0.9852924942970276,0.2246142476797104,0.04994222894310951
7,0.9874243140220642,0.3291201591491699,0.036378201097249985,0.9860419631004333,0.24294154345989227,0.04879646748304367
8,0.9880065321922302,0.3628233075141907,0.03365736082196236,0.9859558343887329,0.28024807572364807,0.043430984020233154
9,0.9885092973709106,0.39188235998153687,0.03152109310030937,0.984538733959198,0.3181040585041046,0.04725930094718933
10,0.9890362024307251,0.42118436098098755,0.02963276579976082,0.9860548377037048,0.305216521024704,0.04710959643125534
11,0.9894522428512573,0.4439088702201843,0.028154531493782997,0.9865455031394958,0.34190425276756287,0.04093225300312042
12,0.9900121688842773,0.4732813239097595,0.026452405378222466,0.9866024851799011,0.254702627658844,0.04983951523900032
13,0.9903050065040588,0.4894808530807495,0.025353169068694115,0.986473023891449,0.3471507430076599,0.046937309205532074
14,0.9907463192939758,0.5122619271278381,0.02409980446100235,0.9864049553871155,0.33614468574523926,0.043047234416007996
15,0.9911611080169678,0.5336610674858093,0.022885415703058243,0.986335813999176,0.3285623788833618,0.051803313195705414
16,0.991542637348175,0.5527293086051941,0.021772122010588646,0.9865813255310059,0.34707412123680115,0.049799736589193344
17,0.9919186234474182,0.5717043876647949,0.02074892818927765,0.9867190718650818,0.3679397404193878,0.044976361095905304
18,0.9922775030136108,0.5900648236274719,0.01974199339747429,0.9865636825561523,0.3733988404273987,0.04554707556962967
19,0.9925737380981445,0.604320228099823,0.01888265088200569,0.9872025847434998,0.3712756931781769,0.045153215527534485
20,0.9928536415100098,0.6185987591743469,0.01813114807009697,0.9860413670539856,0.3541744649410248,0.04541501775383949
21,0.9929991960525513,0.6257990598678589,0.01773003116250038,0.9867537021636963,0.3757185637950897,0.04836108908057213
22,0.9934377074241638,0.6476449370384216,0.016515402123332024,0.9866005778312683,0.36305543780326843,0.051340069621801376
23,0.9936624765396118,0.6589419841766357,0.015922199934720993,0.9862406253814697,0.37291696667671204,0.050491396337747574
24,0.9938700795173645,0.6689673066139221,0.015420608222484589,0.9868385791778564,0.3733888268470764,0.05162302404642105
25,0.994051456451416,0.6782142519950867,0.014865917153656483,0.9865291714668274,0.3711567223072052,0.05350823327898979
26,0.9940741062164307,0.678887665271759,0.01486564427614212,0.9873806834220886,0.3584563136100769,0.05199960246682167
27,0.9945729970932007,0.7041887044906616,0.013532212004065514,0.9872101545333862,0.3611774444580078,0.0515051893889904
28,0.9946903586387634,0.710111677646637,0.013202093541622162,0.986808717250824,0.32868531346321106,0.0654592290520668
29,0.9948036670684814,0.7156939506530762,0.012902763672173023,0.9872016310691833,0.36567774415016174,0.0546281561255455
30,0.9950123429298401,0.7262623310089111,0.012385946698486805,0.9877672791481018,0.36200767755508423,0.05725201591849327
31,0.9951333403587341,0.7324758172035217,0.012062732130289078,0.9873555302619934,0.3667599558830261,0.05872708931565285
32,0.9952470064163208,0.7380831837654114,0.011760951019823551,0.9872560501098633,0.3860169053077698,0.05181341618299484
33,0.9954870343208313,0.7504163980484009,0.011138584464788437,0.9870353937149048,0.37763869762420654,0.05819377675652504
34,0.9955544471740723,0.7538144588470459,0.010958405211567879,0.9875297546386719,0.40431058406829834,0.05176922306418419
35,0.9956592917442322,0.75924152135849,0.010693894699215889,0.9867888689041138,0.3751983046531677,0.06128256022930145
36,0.9957615733146667,0.7643918991088867,0.010453872382640839,0.986497163772583,0.37983182072639465,0.05406327545642853
37,0.9959222078323364,0.772713303565979,0.010015609674155712,0.9863573908805847,0.3837326169013977,0.054455019533634186
38,0.9959877133369446,0.7762201428413391,0.009816411882638931,0.9875729084014893,0.3754822313785553,0.05890439450740814
39,0.9961021542549133,0.7820355892181396,0.009552706964313984,0.9872066974639893,0.37544673681259155,0.060064684599637985
40,0.9961361289024353,0.7836741209030151,0.00947579462081194,0.9875125288963318,0.3792870044708252,0.062235042452812195
41,0.996241569519043,0.7891911268234253,0.009201307781040668,0.9878085851669312,0.360972136259079,0.05969013273715973
42,0.9963658452033997,0.7957503199577332,0.008871044032275677,0.9873042106628418,0.37322670221328735,0.061745841056108475
43,0.9963147640228271,0.7930693626403809,0.009019969962537289,0.987617552280426,0.360234797000885,0.06162744387984276
44,0.9964647889137268,0.8008831143379211,0.008626211434602737,0.9875494837760925,0.382619172334671,0.062176190316677094
45,0.9966101050376892,0.8085648417472839,0.008229710161685944,0.9874296188354492,0.35796988010406494,0.06534752249717712
46,0.9964988827705383,0.8025590181350708,0.008561651222407818,0.9873471856117249,0.3721472918987274,0.06222325563430786
47,0.9967902302742004,0.8180739283561707,0.007776992861181498,0.9876000285148621,0.3807408809661865,0.06098886579275131
