epoch,accuracy,io_u,loss,val_accuracy,val_io_u,val_loss
0,0.9836505651473999,4.635287496057572e-06,0.09303461760282516,0.9836671948432922,0.0,0.05851459130644798
1,0.9864371418952942,0.26005351543426514,0.03890308365225792,0.9861313104629517,0.2977985441684723,0.04052075743675232
2,0.9902153015136719,0.48435842990875244,0.026505477726459503,0.9876981973648071,0.3670794367790222,0.04406563192605972
3,0.992222249507904,0.58750319480896,0.02022111788392067,0.9882718920707703,0.3691875636577606,0.04311896488070488
4,0.993556022644043,0.6543100476264954,0.016326406970620155,0.9889345169067383,0.42352333664894104,0.04465422406792641
5,0.9946430325508118,0.7077109813690186,0.013443243689835072,0.9892451167106628,0.4456152617931366,0.05467066168785095
6,0.9956334829330444,0.7576930522918701,0.01068322267383337,0.9891552925109863,0.4387108385562897,0.062419310212135315
7,0.996177613735199,0.7856101393699646,0.009272217750549316,0.9892268776893616,0.4134325683116913,0.07851848006248474
8,0.9967970848083496,0.8180422186851501,0.007696079555898905,0.9892137050628662,0.45222538709640503,0.0717911496758461
9,0.9971114993095398,0.8349032998085022,0.00691587571054697,0.9888156056404114,0.3728298246860504,0.08220694959163666
10,0.9973568916320801,0.8480710387229919,0.006309401243925095,0.9892852306365967,0.42930442094802856,0.08167653530836105
11,0.9975525140762329,0.8587331771850586,0.005823190789669752,0.9896633625030518,0.4477357268333435,0.08735930919647217
12,0.9977467656135559,0.8692968487739563,0.005369611084461212,0.9895268678665161,0.4339424669742584,0.08322497457265854
13,0.9979811310768127,0.8822552561759949,0.004759924486279488,0.9898277521133423,0.46185439825057983,0.07047119736671448
14,0.9980572462081909,0.8864927291870117,0.004588795360177755,0.9894102811813354,0.4371342957019806,0.09861614555120468
15,0.998245358467102,0.8970320224761963,0.004126297309994698,0.9890865683555603,0.42806482315063477,0.09112709760665894
16,0.9981980323791504,0.8943103551864624,0.004270634613931179,0.9894972443580627,0.45113590359687805,0.10047551244497299
17,0.9984503388404846,0.9085437059402466,0.0036355003248900175,0.989576518535614,0.43339794874191284,0.1015605628490448
18,0.9985042810440063,0.9116305112838745,0.0035025363322347403,0.9897423982620239,0.4469548165798187,0.08562932163476944
19,0.9985491037368774,0.9141320586204529,0.0034059304744005203,0.9893587231636047,0.43584325909614563,0.07737530767917633
20,0.998590350151062,0.9164882898330688,0.003303319215774536,0.9896300435066223,0.45513442158699036,0.09276890009641647
21,0.9987255930900574,0.9242047667503357,0.0029888481367379427,0.9895597100257874,0.4515644311904907,0.09713570773601532
22,0.998783528804779,0.9275394082069397,0.0028355696704238653,0.9898818135261536,0.46281442046165466,0.10272999852895737
23,0.9987167716026306,0.9237041473388672,0.0030224535148590803,0.9892005324363708,0.4213506877422333,0.057438984513282776
24,0.9985491037368774,0.9140457510948181,0.0034391183871775866,0.989693284034729,0.4461071193218231,0.12115613371133804
25,0.9989544153213501,0.9374578595161438,0.002433542627841234,0.9897372126579285,0.4528856575489044,0.12238001823425293
26,0.9990454316139221,0.942723274230957,0.0022250977344810963,0.9896600842475891,0.45124128460884094,0.12375472486019135
27,0.9990066289901733,0.9404439926147461,0.0023142455611377954,0.9895486235618591,0.45158031582832336,0.10739156603813171
28,0.9990285634994507,0.941747784614563,0.0022666994482278824,0.9895216822624207,0.4610844552516937,0.10519026219844818
29,0.9990625381469727,0.9437238574028015,0.0021852869540452957,0.9895915389060974,0.4519153833389282,0.12112864851951599
30,0.9990426898002625,0.9425570368766785,0.002234827494248748,0.9895435571670532,0.4513021409511566,0.12165509164333344
31,0.9990969896316528,0.9457533359527588,0.0021065634209662676,0.9895347356796265,0.4478452801704407,0.12243463099002838
32,0.9990852475166321,0.9450659155845642,0.0021446682512760162,0.989513635635376,0.45488399267196655,0.11311528086662292
33,0.999151349067688,0.9489315748214722,0.001978417159989476,0.9894751310348511,0.4500782787799835,0.11245350539684296
34,0.9984835386276245,0.9100781679153442,0.0038685116451233625,0.989569365978241,0.4457918703556061,0.08403477817773819
35,0.9991006255149841,0.9459162950515747,0.0021028558257967234,0.9896237850189209,0.4472314715385437,0.1027287095785141
36,0.999332070350647,0.9596124291419983,0.0015543014742434025,0.9896236062049866,0.44670388102531433,0.12113507091999054
37,0.9993647336959839,0.9615448117256165,0.0014772600261494517,0.9896130561828613,0.45696717500686646,0.11899957805871964
38,0.9993389248847961,0.9599856734275818,0.0015441171126440167,0.9896376729011536,0.4537145495414734,0.11782588064670563
39,0.9993188381195068,0.9588084816932678,0.001589523977600038,0.989688515663147,0.46020394563674927,0.11978933215141296
40,0.9993014335632324,0.9577786326408386,0.0016329485224559903,0.9896275401115417,0.4537539482116699,0.12032750248908997
41,0.9993014335632324,0.9577524065971375,0.001629251753911376,0.9897462725639343,0.4548293352127075,0.11729812622070312
42,0.9993088245391846,0.958211362361908,0.00161728635430336,0.9895709753036499,0.45429933071136475,0.1232236996293068
43,0.9993266463279724,0.9593262672424316,0.001569582149386406,0.9897599220275879,0.46558281779289246,0.10975199192762375
44,0.9990382790565491,0.9422611594200134,0.0023253480903804302,0.989403486251831,0.4406672716140747,0.09970207512378693
45,0.9991104602813721,0.9465147256851196,0.00213775597512722,0.989689826965332,0.4564768671989441,0.10406511276960373
46,0.9994223117828369,0.9649959206581116,0.001349452417343855,0.9896450042724609,0.45020413398742676,0.12403343617916107
47,0.9994903802871704,0.9690357446670532,0.0011905698338523507,0.9895517230033875,0.44878441095352173,0.12809650599956512
48,0.999469518661499,0.9677746295928955,0.0012422584695741534,0.9896246194839478,0.44768819212913513,0.12918774783611298
49,0.9994478225708008,0.9664786458015442,0.001291983062401414,0.9896752238273621,0.4582136869430542,0.11607487499713898
50,0.9994273781776428,0.9652696251869202,0.0013391836546361446,0.9895943403244019,0.4518907368183136,0.13033291697502136
51,0.9994279742240906,0.9653018116950989,0.0013382085599005222,0.9896838068962097,0.4504830837249756,0.13271485269069672
52,0.9994217753410339,0.9649197459220886,0.0013529766583815217,0.9896367192268372,0.449017733335495,0.12820559740066528
53,0.9994271993637085,0.9652710556983948,0.001339165959507227,0.9896544218063354,0.4528534412384033,0.11945692449808121
54,0.9994426369667053,0.9661564230918884,0.0013022766215726733,0.9895183444023132,0.44117775559425354,0.13345609605312347
55,0.9994598627090454,0.9671939015388489,0.001266786828637123,0.9896619319915771,0.4510576128959656,0.13346000015735626
56,0.9994662404060364,0.9675896167755127,0.0012479331344366074,0.989721953868866,0.46128222346305847,0.13519513607025146
57,0.9994680881500244,0.9677008390426636,0.001242670463398099,0.9896716475486755,0.4559057652950287,0.13805590569972992
58,0.9994722008705139,0.9679443836212158,0.0012336606159806252,0.9896945953369141,0.45743292570114136,0.12837165594100952
59,0.9994855523109436,0.9687634110450745,0.0012046723859384656,0.989657998085022,0.45434102416038513,0.14183397591114044
60,0.9994951486587524,0.9693305492401123,0.0011820616200566292,0.9897642731666565,0.46158406138420105,0.13266539573669434
61,0.999167263507843,0.9498640298843384,0.0020523699931800365,0.9896228313446045,0.4476708173751831,0.10757440328598022
62,0.9994667768478394,0.9676560759544373,0.0012503493344411254,0.9896864891052246,0.4519118070602417,0.12322080880403519
63,0.9996205568313599,0.9768506288528442,0.0008937384118326008,0.9897305369377136,0.4594643712043762,0.14687681198120117
64,0.999615490436554,0.9765587449073792,0.0009042129968293011,0.9898094534873962,0.4531588852405548,0.14042095839977264
65,0.9995835423469543,0.9746537208557129,0.0009769172174856067,0.9898195266723633,0.45814061164855957,0.15000256896018982
66,0.9995708465576172,0.9738653302192688,0.001007171580567956,0.9896707534790039,0.4523049592971802,0.1390487104654312
67,0.9995598793029785,0.973190426826477,0.0010338601423427463,0.9898316860198975,0.45280787348747253,0.14162161946296692
68,0.9995615482330322,0.9733182191848755,0.0010293859522789717,0.9898399114608765,0.46214234828948975,0.1389523148536682
69,0.9995664358139038,0.9736151695251465,0.0010179594391956925,0.9898152351379395,0.458215594291687,0.1439393311738968
70,0.9995603561401367,0.973206639289856,0.0010327005293220282,0.9899036884307861,0.4690904915332794,0.13060075044631958
71,0.9995627999305725,0.9734180569648743,0.001024932600557804,0.9898238182067871,0.46640732884407043,0.13714976608753204
72,0.9995648860931396,0.9735195636749268,0.0010234895162284374,0.9898570775985718,0.46358585357666016,0.13663724064826965
73,0.9995839595794678,0.9746406674385071,0.0009771633194759488,0.9898090362548828,0.4569127559661865,0.1477927267551422
74,0.9995889067649841,0.9749341607093811,0.0009674049215391278,0.989915132522583,0.46395209431648254,0.1433778703212738
75,0.9995908141136169,0.9750596284866333,0.000962915422860533,0.9899219274520874,0.4630267918109894,0.14808286726474762
76,0.9995944499969482,0.975273847579956,0.0009553206036798656,0.9897995591163635,0.4633207321166992,0.13702717423439026
77,0.9995997548103333,0.9755766987800598,0.0009414447704330087,0.9897937774658203,0.46837735176086426,0.14181968569755554
78,0.9996093511581421,0.9761643409729004,0.0009207468829117715,0.9897612929344177,0.45221295952796936,0.1608942449092865
79,0.9996148347854614,0.9765229821205139,0.0009065551566891372,0.9897664785385132,0.4549821615219116,0.15554392337799072
80,0.9996083378791809,0.9761550426483154,0.0009225553367286921,0.9897492527961731,0.4580669105052948,0.14726971089839935
81,0.9996141791343689,0.9764912128448486,0.0009096933645196259,0.9897982478141785,0.4680933654308319,0.15149642527103424
82,0.9996329545974731,0.9775846600532532,0.0008641179301775992,0.9898039102554321,0.46591490507125854,0.15359380841255188
83,0.9996376037597656,0.9778673052787781,0.0008566051837988198,0.9897761344909668,0.4643177390098572,0.15065112709999084
84,0.9996379017829895,0.9778932929039001,0.000856839818879962,0.989865243434906,0.46384960412979126,0.15203861892223358
85,0.9996325969696045,0.9776113033294678,0.0008677132427692413,0.98968106508255,0.4531521201133728,0.161640927195549
86,0.9996412396430969,0.978155791759491,0.000845771050080657,0.9897674918174744,0.4574269652366638,0.16863349080085754
87,0.9996477365493774,0.9784882664680481,0.0008336837636306882,0.9898073673248291,0.46350470185279846,0.16190750896930695
88,0.9996512532234192,0.9786823987960815,0.0008250229293480515,0.9896832704544067,0.45687881112098694,0.16062937676906586
89,0.999660849571228,0.9793093800544739,0.0008020898676477373,0.9898095726966858,0.46389472484588623,0.17556539177894592
